"","Taxa","GenePair","sum","total_n"
"418","A_Missouri_11_2014","NS-PB2",6,3
"419","A_Missouri_11_2014","PA-PB2",6,3
"420","A_Missouri_11_2014","PB1-PB2",6,3
"421","A_Moscow_1514A00504942N_2012","HA-NP",6,3
"422","A_Moscow_1514A00504942N_2012","M-PA",6,3
"423","A_Moscow_1514A00504942N_2012","M-PB2",6,3
"424","A_Moscow_1514A00504942N_2012","NA-NP",6,3
"425","A_Moscow_1514A00504942N_2012","NA-PB1",6,3
"426","A_Moscow_1514A00504942N_2012","NP-PB2",6,3
"427","A_Moscow_1514A00504942N_2012","PB1-PB2",6,3
"428","A_Nagasaki_13N046_2014","NS-PA",6,3
"429","A_Nagasaki_13N046_2014","NS-PB2",6,3
"430","A_Nanjing_1654_2010","M-PA",6,3
"431","A_Nanjing_1654_2010","NP-PA",6,3
"432","A_Nanjing_1654_2010","PA-PB2",6,3
"433","A_Nanjing_1655_2010","M-PA",6,3
"434","A_Nanjing_1655_2010","NP-PA",6,3
"435","A_Nanjing_1655_2010","PA-PB2",6,3
"436","A_Nanjing_1663_2010","M-PA",6,3
"437","A_Nanjing_1663_2010","NP-PA",6,3
"438","A_Nanjing_1663_2010","PA-PB2",6,3
"439","A_Netherlands_063_2011","M-PA",6,3
"440","A_Netherlands_063_2011","NP-PA",6,3
"441","A_Netherlands_063_2011","PA-PB2",6,3
"442","A_Netherlands_363_2006","HA-M",6,3
"443","A_Netherlands_363_2006","HA-PB1",6,4
"444","A_Netherlands_363_2006","M-PA",6,3
"445","A_Netherlands_363_2006","PA-PB1",6,3
"446","A_Nevada_12_2017","NS-PB1",6,3
"447","A_Nevada_12_2017","PA-PB1",6,3
"448","A_New_Jersey_07_2017","HA-PB1",6,3
"449","A_New_Jersey_07_2017","NA-PA",6,8
"450","A_New_Jersey_07_2017","NA-PB1",6,3
"451","A_New_Jersey_07_2017","NA-PB2",6,3
"452","A_New_York_1001_2005","HA-PB2",6,3
"453","A_New_York_1028_2006","HA-NA",6,3
"454","A_New_York_1028_2006","HA-NP",6,3
"455","A_New_York_1028_2006","HA-PA",6,3
"456","A_New_York_1028_2006","HA-PB1",6,6
