ID,Strain,GenePair
362,A/Kentucky/26/2016,PB1-PB2
363,A/Kyoto/13K025/2014,HA-M
364,A/Kyoto/13K025/2014,HA-NA
365,A/Kyoto/13K025/2014,HA-PB1
366,A/Kyoto/13K025/2014,HA-PB2
367,A/Kyoto/13K025/2014,M-NS
368,A/Kyoto/13K025/2014,NA-NS
369,A/Kyoto/13K025/2014,NP-PB2
370,A/Kyoto/13K025/2014,NS-PB1
371,A/Kyoto/13K025/2014,NS-PB2
372,A/Kyoto/13K025/2014,PA-PB2
373,A/Kyoto/13K025/2014,PB1-PB2
374,A/Linkou/0206/2017,HA-PB2
375,A/Linkou/0206/2017,NA-PA
376,A/Linkou/0206/2017,NA-PB1
377,A/Linkou/0206/2017,PB1-PB2
378,A/Linkou/0302/2017,HA-PB2
379,A/Louisiana/11/2014,HA-M
380,A/Louisiana/11/2014,HA-NA
381,A/Louisiana/11/2014,HA-PB1
382,A/Louisiana/11/2014,HA-PB2
383,A/Louisiana/11/2014,M-NP
384,A/Louisiana/11/2014,M-NS
385,A/Louisiana/11/2014,M-PA
386,A/Louisiana/11/2014,M-PB1
387,A/Louisiana/11/2014,NA-NP
388,A/Louisiana/11/2014,NA-PA
389,A/Louisiana/11/2014,NA-PB1
390,A/Louisiana/11/2014,NP-PB2
391,A/Louisiana/11/2014,NS-PB1
392,A/Louisiana/11/2014,NS-PB2
393,A/Louisiana/11/2014,PA-PB2
394,A/Louisiana/11/2014,PB1-PB2
395,A/Maryland/10/2017,HA-PB1
396,A/Maryland/10/2017,NA-PA
397,A/Maryland/10/2017,NA-PB1
398,A/Maryland/10/2017,NA-PB2
399,A/Maryland/31/2016,M-NS
400,A/Maryland/31/2016,NS-PA
401,A/Maryland/31/2016,NS-PB1
402,A/Maryland/31/2016,NS-PB2
403,A/Massachusetts/16/2017,NS-PB1
404,A/Massachusetts/16/2017,PA-PB1
405,A/Missouri/11/2014,HA-M
406,A/Missouri/11/2014,HA-NA
407,A/Missouri/11/2014,HA-PB1
408,A/Missouri/11/2014,HA-PB2
409,A/Missouri/11/2014,M-NP
410,A/Missouri/11/2014,M-NS
411,A/Missouri/11/2014,M-PA
412,A/Missouri/11/2014,M-PB1
413,A/Missouri/11/2014,NA-NP
414,A/Missouri/11/2014,NA-PA
415,A/Missouri/11/2014,NA-PB1
416,A/Missouri/11/2014,NP-PB2
417,A/Missouri/11/2014,NS-PB1
418,A/Missouri/11/2014,NS-PB2
419,A/Missouri/11/2014,PA-PB2
420,A/Missouri/11/2014,PB1-PB2
421,A/Moscow/1514A00504942N/2012,HA-NP
422,A/Moscow/1514A00504942N/2012,M-PA
423,A/Moscow/1514A00504942N/2012,M-PB2
424,A/Moscow/1514A00504942N/2012,NA-NP
425,A/Moscow/1514A00504942N/2012,NA-PB1
426,A/Moscow/1514A00504942N/2012,NP-PB2
427,A/Moscow/1514A00504942N/2012,PB1-PB2
428,A/Nagasaki/13N046/2014,NS-PA
429,A/Nagasaki/13N046/2014,NS-PB2
430,A/Nanjing/1654/2010,M-PA
431,A/Nanjing/1654/2010,NP-PA
432,A/Nanjing/1654/2010,PA-PB2
433,A/Nanjing/1655/2010,M-PA
434,A/Nanjing/1655/2010,NP-PA
435,A/Nanjing/1655/2010,PA-PB2
436,A/Nanjing/1663/2010,M-PA
437,A/Nanjing/1663/2010,NP-PA
438,A/Nanjing/1663/2010,PA-PB2
439,A/Netherlands/063/2011,M-PA
440,A/Netherlands/063/2011,NP-PA
441,A/Netherlands/063/2011,PA-PB2
442,A/Netherlands/363/2006,HA-M
