"","Taxa","sum","HA-M","HA-NA","HA-NP","HA-NS","HA-PA","HA-PB1","HA-PB2","M-NA","M-NP","M-NS","M-PA","M-PB1","M-PB2","NA-NP","NA-NS","NA-PA","NA-PB1","NA-PB2","NP-NS","NP-PA","NP-PB1","NP-PB2","NS-PA","NS-PB1","NS-PB2","PA-PB1","PA-PB2","PB1-PB2"
"118","A_Shanghai_20_2017",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA
"119","A_Shanghai_21_2017",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"120","A_Shanghai_29_2017",6,NA,NA,NA,NA,3,6,NA,NA,NA,NA,5,6,3,NA,6,NA,NA,NA,NA,NA,7,3,6,13,6,4,3,NA
"121","A_Shanghai_30_2017",6,3,NA,3,11,4,NA,NA,NA,NA,NA,5,9,3,NA,8,NA,NA,NA,NA,3,3,5,4,15,6,NA,3,3
"122","A_Shanghai_31_2017",6,NA,3,NA,NA,11,3,5,NA,NA,NA,4,4,NA,10,5,3,NA,NA,NA,10,9,14,4,4,7,3,NA,3
"123","A_Shanghai_32_2017",6,NA,6,5,7,3,NA,3,NA,NA,NA,NA,NA,NA,6,9,4,NA,NA,NA,NA,NA,NA,6,12,7,3,3,NA
"124","A_Shanghai_33_2017",6,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,3,NA,3,NA,3,7,14,11,NA,6,NA
"125","A_Shanghai_35_2017",6,4,4,7,13,7,NA,9,NA,NA,NA,5,5,NA,6,9,NA,NA,11,NA,5,6,14,4,12,7,NA,3,6
"126","A_Shanghai_36_2017",6,3,NA,NA,13,3,NA,3,3,NA,NA,3,3,NA,NA,11,NA,NA,9,NA,NA,NA,NA,6,15,9,4,3,NA
"127","A_Shanghai_37_2017",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,NA,3,NA,NA,3,3
"128","A_Shanghai_38_2017",6,3,4,3,3,4,NA,NA,NA,NA,NA,5,6,3,4,NA,4,NA,3,NA,NA,7,5,NA,3,NA,4,3,3
"129","A_Shanghai_40_2017",6,NA,3,NA,5,NA,NA,NA,3,NA,NA,3,NA,4,NA,6,NA,NA,7,NA,NA,NA,3,3,3,4,3,6,NA
"130","A_Shanghai_41_2017",6,5,NA,3,3,4,NA,NA,3,NA,NA,3,5,NA,NA,NA,NA,NA,3,NA,NA,NA,5,NA,3,NA,NA,3,NA
"131","A_Shanghai_43_2017",6,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,3,NA,3,3,NA,3,NA
"132","A_Shanghai_45_2017",6,NA,NA,NA,4,NA,NA,5,NA,NA,NA,NA,5,NA,NA,4,NA,NA,5,4,3,NA,13,4,3,10,NA,3,6
"133","A_Shanghai_46_2017",6,6,4,3,3,7,NA,7,4,NA,NA,3,5,NA,4,NA,4,NA,NA,NA,NA,3,5,NA,3,3,3,3,NA
"134","A_Shanghai_47_2017",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,9,NA,3,NA,NA,3,NA
"135","A_Shanghai_49_2017",6,3,3,NA,4,NA,NA,NA,7,NA,5,3,6,3,4,5,3,NA,NA,4,3,3,5,4,3,4,NA,3,NA
"136","A_Shanghai_50_2017",6,5,NA,3,3,4,NA,8,7,NA,NA,3,6,3,NA,NA,NA,NA,7,NA,NA,3,3,NA,3,NA,3,6,NA
"137","A_Shanghai_51_2017",6,3,NA,3,3,3,NA,NA,4,NA,NA,4,9,3,NA,NA,NA,NA,NA,NA,5,7,6,NA,3,NA,NA,3,3
"138","A_Shanghai_53_2017",6,5,NA,4,5,3,NA,4,3,NA,5,3,6,3,NA,4,NA,NA,NA,NA,NA,NA,3,4,3,4,NA,3,NA
