compareStrain,vaccineStrain,vaccine_code,Year,Month,Day,Dom
KT889102_A_Kyrgyzstan_40_2012,EPI577969_A_Perth_16_2009,Prth09,2012,1,12,0
KT889103_A_Kyrgyzstan_41_2012,EPI577969_A_Perth_16_2009,Prth09,2012,1,12,0
KT889104_A_Japan_42_2012,EPI577969_A_Perth_16_2009,Prth09,2012,1,31,0
KT889107_A_Korea_45_2012,EPI577969_A_Perth_16_2009,Prth09,2012,1,13,0
KT889108_A_Korea_47_2012,EPI577969_A_Perth_16_2009,Prth09,2012,1,20,1
KT888945_A_Yokosuka_SE863_2012,EPI577969_A_Perth_16_2009,Prth09,2012,2,3,0
KT889105_A_Japan_43_2012,EPI577969_A_Perth_16_2009,Prth09,2012,2,5,0
KC892843_A_Nevada_12_2012,EPI577969_A_Perth_16_2009,Prth09,2012,3,30,0
KT888260_A_Moscow_1514A00505153N_2012,EPI577969_A_Perth_16_2009,Prth09,2012,3,23,0
KT889091_A_Japan_26_2012,EPI577969_A_Perth_16_2009,Prth09,2012,3,5,0
EPI556813_A_Texas_50_2012,EPI577969_A_Perth_16_2009,Prth09,2012,4,15,0
KT888259_A_Moscow_1514A00505149T_2012,EPI577969_A_Perth_16_2009,Prth09,2012,4,12,0
KT888261_A_Moscow_1514A00505162N_2012,EPI577969_A_Perth_16_2009,Prth09,2012,4,13,0
KT888279_A_Prague_1514A06404885N_2012,EPI577969_A_Perth_16_2009,Prth09,2012,4,12,0
MK640845_A_China_38887_2012,EPI577969_A_Perth_16_2009,Prth09,2012,8,29,1
MK640846_A_China_38888_2012,EPI577969_A_Perth_16_2009,Prth09,2012,8,29,0
MK640847_A_China_39207_2012,EPI577969_A_Perth_16_2009,Prth09,2012,9,26,1
MK730233_A_New_York_WC_LVD_12_051_2012,EPI417234_A_Victoria_361_2011,Vic11,2012,10,5,0
CY134779_A_Texas_JMM_8_2012,EPI417234_A_Victoria_361_2011,Vic11,2012,11,20,0
CY135131_A_Texas_JMM_54_2012,EPI417234_A_Victoria_361_2011,Vic11,2012,12,6,0
CY148427_A_Boston_DOA2_112_2012,EPI417234_A_Victoria_361_2011,Vic11,2012,12,4,0
CY148547_A_Boston_DOA2_128_2012,EPI417234_A_Victoria_361_2011,Vic11,2012,12,18,0
CY167934_A_Boston_YGA_00008_2012,EPI417234_A_Victoria_361_2011,Vic11,2012,12,19,0
CY168846_A_Boston_YGA_01045_2012,EPI417234_A_Victoria_361_2011,Vic11,2012,12,25,0
CY168878_A_Boston_YGA_01049_2012,EPI417234_A_Victoria_361_2011,Vic11,2012,12,26,0
CY170126_A_Boston_YGA_02003_2012,EPI417234_A_Victoria_361_2011,Vic11,2012,12,17,0
